Team,Time,Jersey,Player,Event,X,Y,endX,endY,Foot,Outcome,Key Pass,Assist,Through Pass,Clearance,Take On,Hand Foul,gX,gY
Andover New Street,01:30,10,Hibberd,Pass,60,40,36,43,,Complete,,,,,,,,
Andover New Street,01:32,5,Scott,Pass,36,38,38,45,,Complete,,,,,,,,
Andover New Street,01:33,2,Kaba,Long Kick,35,46,84,1,,Incomplete,,,,,,,,
Andover New Street,01:43,3,Quashie,Head Pass,29,10,45,6,,Incomplete,,,,,,,,
Andover New Street,01:46,3,Quashie,Defensive Duel,34,11,0,0,,,,,,,,,,
Andover New Street,01:46,7,Locker,Offensive Duel,37,11,0,0,,Won,,,,,,,,
Andover New Street,01:47,7,Locker,Pass,37,8,30,14,,Complete,,,,,,,,
Andover New Street,01:49,3,Quashie,Long Kick,33,17,81,29,,Incomplete,,,true,,,,,
Andover New Street,01:52,7,Locker,Pressure,81,10,0,0,,,,,,,,,,
Andover New Street,01:55,5,Scott,LBD,36,28,0,0,,,,,,,,,,
Andover New Street,01:57,2,Kaba,Head Pass,32,35,31,25,,Complete,,,,,,,,
Andover New Street,01:59,3,Quashie,Pass,29,20,46,8,,Complete,,,,,,,,
Andover New Street,02:01,7,Locker,Pass,45,11,64,21,,Complete,,,,,,,,
Andover New Street,02:04,8,Williams,Offensive Duel,63,25,0,0,,Lost,,,,,,,,
Andover New Street,02:06,5,Scott,Defensive Duel,39,29,0,0,,,,,,,,,,
Andover New Street,02:08,5,Scott,Interception,44,35,0,0,,,,,,,,,,
Andover New Street,02:09,5,Scott,Pass,45,33,50,50,,Complete,,,,,,,,
Andover New Street,02:10,11,Taylor Kelly,Pass,42,59,57,53,,Complete,,,,,,,,
Andover New Street,02:16,10,Hibberd,Pass,64,69,45,55,,Complete,,,,,,,,
Andover New Street,02:18,2,Kaba,Pass,41,64,58,55,,Complete,,,,,,,,
Andover New Street,02:21,4,Carswell,Pass,51,55,38,42,,Complete,,,,,,,,
Andover New Street,02:24,5,Scott,Long Kick,35,36,84,3,,Complete,,,,,,,,
Andover New Street,02:27,7,Locker,Head Pass,89,3,97,24,,Incomplete,,,,,,,,
Andover New Street,02:52,3,Quashie,Throw In,86,1,90,11,,Incomplete,,,,,,,,
Andover New Street,02:54,10,Hibberd,Touch,83,15,0,0,,Bad,,,,,,,,
Andover New Street,02:56,8,Williams,Interception,86,13,0,0,,,,,,,,,,
Andover New Street,03:01,5,Scott,Defensive Duel,36,11,0,0,,Won,,,,,,,,
Andover New Street,03:11,3,Quashie,Pass,31,12,51,17,,Complete,,,,,,,,
Andover New Street,03:12,10,Hibberd,Touch,48,21,0,0,,Bad,,,,,,,,
Andover New Street,03:14,6,Thatcher,Defensive Duel,43,26,0,0,,,,,,,,,,
Andover New Street,03:16,10,Hibberd,Defensive Duel,43,30,0,0,,,,,,,,,,
Andover New Street,03:17,4,Carswell,Defensive Duel,48,21,0,0,,,,,,,,,,
Andover New Street,03:19,4,Carswell,Foul,50,22,0,0,,,,,,,,,,
Andover New Street,03:48,5,Scott,Air Duel,17,44,0,0,,Won,,,,,,,,
Andover New Street,03:50,10,Hibberd,Carry,32,60,45,70,,Complete,,,,,,,,
Andover New Street,03:53,10,Hibberd,Pass,41,71,76,69,,Incomplete,,,,,,,,
Andover New Street,03:57,9,Moore,Offensive Duel,76,74,0,0,,Lost,,,,,true,,,
Andover New Street,04:14,2,Kaba,Throw In,81,78,81,78,,Bad,,,,,,,,
Andover New Street,04:32,6,Thatcher,Defensive Duel,73,75,0,0,,,,,,,,,,
Andover New Street,04:35,11,Taylor Kelly,Defensive Duel,50,72,0,0,,Lost,,,,,,,,
Andover New Street,05:07,1,Fredricks,Free Kick,34,68,88,54,,,,,,,,,,
Andover New Street,05:12,4,Carswell,Head Pass,80,46,95,34,,Complete,,,,,,,,
Andover New Street,05:13,9,Moore,Air Duel,94,30,0,0,,Lost,,,,,,,,
Andover New Street,05:16,8,Williams,Pass,93,28,88,14,,Complete,,,,,,,,
Andover New Street,05:17,7,Locker,Pass,89,15,83,25,,Complete,,,,,,,,
Andover New Street,05:23,4,Carswell,Pass,86,10,56,13,,Complete,,,,,,,,
Andover New Street,05:18,4,Carswell,Carry,83,16,95,5,,Complete,,,,,,,,
Andover New Street,05:27,3,Quashie,Pass,41,25,18,55,,Complete,,,,,,,,
Andover New Street,05:32,1,Fredricks,Pass,21,55,32,62,,Incomplete,,,,,,,,
Andover New Street,05:45,2,Kaba,Throw In,33,78,50,72,,Complete,,,,,,,,
Andover New Street,05:46,10,Hibberd,LBD,51,73,0,0,,,,,,,,,,
Andover New Street,05:53,5,Scott,Long Kick,28,55,46,44,,Incomplete,,,,true,,,,
Andover New Street,05:52,2,Kaba,Interception,29,58,0,0,,,,,,,,,,
Andover New Street,05:57,3,Quashie,Touch,27,28,0,0,,Bad,,,,,,,,
Andover New Street,06:02,6,Thatcher,Head Pass,13,33,16,25,,Incomplete,,,,,,,,
Andover New Street,06:06,3,Quashie,Defensive Duel,15,27,0,0,,,,,,,,,,
Andover New Street,06:08,8,Williams,Carry,19,15,6,4,,Complete,,,,,,,,
Andover New Street,06:11,8,Williams,Pass,7,8,20,5,,Incomplete,,,,,,,,
Andover New Street,06:41,3,Quashie,Throw In,12,2,43,6,,Incomplete,,,,,,,,
Andover New Street,06:43,9,Moore,Air Duel,38,7,0,0,,Lost,,,,,,,,
Andover New Street,06:46,6,Thatcher,Pass,29,30,32,51,,Incomplete,,,,,,,,
Andover New Street,06:50,2,Kaba,Interception,23,40,0,0,,,,,,,,,,
Andover New Street,06:54,10,Hibberd,Offensive Duel,39,35,0,0,,Won,,,,,true,,,
Andover New Street,07:19,1,Fredricks,Free Kick,35,36,94,15,,,,,,,,,,
Andover New Street,07:24,4,Carswell,Touch,77,27,0,0,,Bad,,,,,,,,
Andover New Street,07:25,4,Carswell,Defensive Duel,74,26,0,0,,Lost,,,,,,,,
Andover New Street,07:33,4,Carswell,Offensive Duel,31,36,0,0,,,,,,,,,,
Andover New Street,07:36,4,Carswell,Defensive Duel,32,37,0,0,,Won,,,,,true,,,
Andover New Street,07:38,11,Taylor Kelly,Offensive Duel,38,39,0,0,,,,,,,,,,
Andover New Street,07:40,8,Williams,Offensive Duel,37,39,0,0,,,,,,,,,,
