Team,Time,Jersey,Player,Event,X,Y,endX,endY,Foot,Outcome,Key Pass,Assist,Through Pass,Clearance,Take On,Hand Foul,Goal Area
Minerva FC,03:52,9,Raj Singh Wahengbam ,Pass,60.0,40.0,26,31,,Complete,,,,,,,
Minerva FC,03:56,3,Moosa Ashiq,Pass,26.0,28.0,23,55,,Complete,,,,,,,
Minerva FC,03:59,4,Sailex Oinam ,Pass,24.0,53.0,44,77,,Complete,,,,,,,
Minerva FC,04:04,2,Ngashepam Reoson Singh,Pass,55.0,76.0,54,65,,Incomplete,,,,,,,
Minerva FC,04:09,34,Loitam Mangal Singh,Pass,48.0,75.0,65,75,,Complete,,,,,,,
Minerva FC,04:11,2,Ngashepam Reoson Singh,Pass,77.0,76.0,81,63,,Incomplete,,,,,,,
Minerva FC,04:13,9,Raj Singh Wahengbam ,Defensive Duel,85.0,67.0,0,0,,Lost,,,,,,,
Minerva FC,04:14,2,Ngashepam Reoson Singh,Pass,85.0,69.0,85,63,,Complete,,,,,,,
Minerva FC,04:19,22,Paoginmang Baite,Shot,88.0,38.0,118,39,Left,Off Target,,,,,,,
Minerva FC,04:16,9,Raj Singh Wahengbam ,Pass,87.0,65.0,88,45,,Complete,,,,,,,
Minerva FC,04:54,5,Rokash Atom,Head Pass,54.0,10.0,27,5,,Complete,,,,,,,
Minerva FC,04:57,3,Moosa Ashiq,Pass,29.0,7.0,30,1,,Complete,,,,True,,,
Minerva FC,05:10,9,Raj Singh Wahengbam ,Carry,42.0,12.0,77,18,,,,,,,,,
Minerva FC,05:14,9,Raj Singh Wahengbam ,Pass,80.0,19.0,98,8,,Complete,,,,,,,
Minerva FC,05:16,7,Lairenjam Sanathoi Meitei,Carry,86.0,14.0,108,13,,,,,,,,,
Minerva FC,05:21,7,Lairenjam Sanathoi Meitei,Pass,106.0,12.0,92,21,,Complete,,,,,,,
Minerva FC,05:22,22,Paoginmang Baite,Cross,95.0,14.0,112,44,Left,,,,,,,,
Minerva FC,05:39,5,Rokash Atom,Head Pass,49.0,16.0,51,2,,,,,,True,,,
Minerva FC,05:51,22,Paoginmang Baite,Defensive Duel,44.0,8.0,0,0,,Lost,,,,,,,
Minerva FC,05:54,7,Lairenjam Sanathoi Meitei,Defensive Duel,43.0,7.0,0,0,,Won,,,,,,,
Minerva FC,06:08,5,Rokash Atom,Throw In,47.0,1.0,83,8,,,,,,,,,
Minerva FC,06:14,5,Rokash Atom,Defensive Duel,61.0,14.0,0,0,,Lost,,,,,,,
Minerva FC,06:14,22,Paoginmang Baite,LBD,65.0,16.0,0,0,,Lost,,,,,,,
Minerva FC,06:19,22,Paoginmang Baite,Offensive Duel,65.0,23.0,0,0,,Lost,,,,,True,,
Minerva FC,06:21,22,Paoginmang Baite,Pass,66.0,24.0,39,20,,Complete,,,,,,,
Minerva FC,06:24,3,Moosa Ashiq,Long Kick,42.0,18.0,71,75,,Complete,,,,,,,
Minerva FC,06:29,2,Ngashepam Reoson Singh,Carry,80.0,76.0,88,64,,,,,,,,,
Minerva FC,06:33,2,Ngashepam Reoson Singh,Offensive Duel,86.0,61.0,0,0,,Won,,,,,True,,
Minerva FC,06:34,2,Ngashepam Reoson Singh,Pass,92.0,58.0,102,47,,Incomplete,,,True,,,,
Minerva FC,06:42,3,Moosa Ashiq,Pass,61.0,25.0,88,26,,Complete,,,,,,,
Minerva FC,06:44,22,Paoginmang Baite,Pass,90.0,25.0,99,13,,Incomplete,,,,,,,
Minerva FC,06:50,7,Lairenjam Sanathoi Meitei,Pass,114.0,11.0,91,7,,Complete,,,,,,,
Minerva FC,06:56,5,Rokash Atom,Cross,91.0,13.0,104,44,Right,,,,,,,,
Minerva FC,07:00,50,Thangkhanlam Samte,Head Pass,77.0,35.0,66,53,,Complete,,,,,,,
Minerva FC,07:07,34,Loitam Mangal Singh,Pass,69.0,56.0,84,60,,Complete,,,,,,,
Minerva FC,07:10,11,Khangembem Gibash Meitei,Pass,85.0,66.0,95,60,,Incomplete,,,,,,,
Minerva FC,07:15,9,Raj Singh Wahengbam ,Pass,91.0,51.0,81,44,,Complete,,,,,,,
Minerva FC,07:17,50,Thangkhanlam Samte,Pass,82.0,40.0,96,22,,Incomplete,,,,,,,
Minerva FC,07:26,3,Moosa Ashiq,Pass,64.0,36.0,94,10,,Complete,,,,,,,
Minerva FC,07:34,7,Lairenjam Sanathoi Meitei,Pass,96.0,7.0,83,9,,Complete,,,,,,,
Minerva FC,07:37,5,Rokash Atom,Pass,82.0,16.0,91,27,,Complete,,,,,,,
Minerva FC,07:38,9,Raj Singh Wahengbam ,Pass,88.0,26.0,80,28,,Complete,,,,,,,
Minerva FC,07:38,50,Thangkhanlam Samte,Pass,82.0,25.0,81,39,,Complete,,,,,,,
Minerva FC,07:40,2,Ngashepam Reoson Singh,Pass,77.0,44.0,91,45,,Complete,,,,,,,
Minerva FC,07:44,9,Raj Singh Wahengbam ,Offensive Duel,89.0,44.0,0,0,,Won,,,,,,,
Minerva FC,07:45,9,Raj Singh Wahengbam ,Pass,88.0,41.0,94,7,,Complete,,,,,,,
Minerva FC,07:51,7,Lairenjam Sanathoi Meitei,Pass,85.0,5.0,91,13,,Complete,,,,,,,
Minerva FC,07:53,22,Paoginmang Baite,Head Pass,93.0,12.0,98,12,,Incomplete,,,,,,,
Minerva FC,07:56,9,Raj Singh Wahengbam ,Air Duel,92.0,16.0,0,0,,Lost,,,,,,,
Minerva FC,07:56,22,Paoginmang Baite,Air Duel,96.0,14.0,0,0,,Lost,,,,,,,
Minerva FC,08:00,50,Thangkhanlam Samte,Defensive Duel,78.0,39.0,0,0,,Lost,,,,,True,,
Minerva FC,08:08,1,Khwairakpam Yoihenba,Carry,12.0,14.0,12,28,,,,,,,,,
Minerva FC,08:11,1,Khwairakpam Yoihenba,Pass,13.0,25.0,15,59,,Complete,,,,,,,
Minerva FC,08:15,4,Sailex Oinam ,Long Kick,17.0,60.0,58,79,,Incomplete,,,,,,,
Minerva FC,08:26,11,Khangembem Gibash Meitei,Pressure,71.0,68.0,0,0,,,,,,,,,
Minerva FC,08:33,5,Rokash Atom,Defensive Duel,12.0,11.0,0,0,,Won,,,,,True,,
Minerva FC,08:34,5,Rokash Atom,Offensive Duel,5.0,15.0,0,0,,Won,,,,,,,
Minerva FC,08:46,3,Moosa Ashiq,Carry,4.0,18.0,64,5,,,,,,,,,
Minerva FC,08:49,3,Moosa Ashiq,Pass,63.0,10.0,74,4,,Complete,,,,,,,
Minerva FC,08:51,7,Lairenjam Sanathoi Meitei,Offensive Duel,78.0,4.0,0,0,,Won,,,,,,,
Minerva FC,08:52,7,Lairenjam Sanathoi Meitei,Pass,75.0,5.0,79,13,,Complete,,,,,,,
Minerva FC,08:54,9,Raj Singh Wahengbam ,Pass,80.0,11.0,95,11,,Incomplete,,,,,,,
Minerva FC,09:06,5,Rokash Atom,Throw In,73.0,2.0,89,10,,,,,,,,,
Minerva FC,09:07,22,Paoginmang Baite,Head Pass,89.0,10.0,84,9,,Incomplete,,,,,,,
Minerva FC,09:12,22,Paoginmang Baite,Defensive Duel,74.0,26.0,0,0,,Won,,,,,,,
Minerva FC,09:14,50,Thangkhanlam Samte,Offensive Duel,75.0,24.0,0,0,,Won,,,,,True,,
Minerva FC,09:15,22,Paoginmang Baite,LBD,80.0,24.0,0,0,,Lost,,,,,,,
Minerva FC,09:16,5,Rokash Atom,LBD,78.0,10.0,0,0,,Lost,,,,,,,
Minerva FC,09:17,22,Paoginmang Baite,Touch,80.0,13.0,0,0,,Bad,,,,,,,
Minerva FC,09:20,50,Thangkhanlam Samte,Pass,84.0,14.0,96,5,,Complete,,,,,,,
Minerva FC,09:22,7,Lairenjam Sanathoi Meitei,Cross,96.0,5.0,107,50,Left,,True,,,,,,
Minerva FC,09:25,11,Khangembem Gibash Meitei,Shot,106.0,49.0,118,37,Right,Off Target,,,,,,,
Minerva FC,09:52,3,Moosa Ashiq,Head Pass,54.0,44.0,93,43,,Incomplete,,,,,,,
Minerva FC,09:57,22,Paoginmang Baite,LBD,87.0,38.0,0,0,,Won,,,,,,,
Minerva FC,10:31,5,Rokash Atom,Corner,116.0,4.0,96,8,,,,,,,,,
Minerva FC,10:32,50,Thangkhanlam Samte,Pass,101.0,12.0,114,12,,Complete,,,,,,,
Minerva FC,10:34,5,Rokash Atom,Cross,113.0,12.0,112,42,Left,,,,,,,,
Minerva FC,10:36,34,Loitam Mangal Singh,Touch,108.0,48.0,0,0,,,,,,,,,
Minerva FC,10:37,3,Moosa Ashiq,Shot,107.0,45.0,112,45,Left,Blocked,,,,,,,
Minerva FC,10:40,4,Sailex Oinam ,Shot,96.0,39.0,118,33,Left,Off Target,,,,,,,
Minerva FC,11:14,5,Rokash Atom,Throw In,39.0,1.0,75,6,,,,,,,,,
Minerva FC,11:24,5,Rokash Atom,Throw In,76.0,1.0,101,6,,,,,,,,,
Minerva FC,11:28,9,Raj Singh Wahengbam ,Defensive Duel,97.0,7.0,0,0,,Lost,,,,,,,
Minerva FC,11:30,9,Raj Singh Wahengbam ,Foul,98.0,7.0,0,0,,,,,,,,,
Minerva FC,11:50,3,Moosa Ashiq,Head Pass,30.0,18.0,63,17,,Complete,,,,,,,
Minerva FC,11:52,9,Raj Singh Wahengbam ,Pass,63.0,20.0,55,16,,Complete,,,,,,,
Minerva FC,11:54,22,Paoginmang Baite,Pass,63.0,18.0,87,5,,Complete,,,,,,,
Minerva FC,12:00,7,Lairenjam Sanathoi Meitei,Long Kick,93.0,5.0,98,26,,Incomplete,,,,,,,
Minerva FC,12:09,7,Lairenjam Sanathoi Meitei,Pressure,96.0,8.0,0,0,,,,,,,,,
Minerva FC,12:11,34,Loitam Mangal Singh,Interception,72.0,30.0,0,0,,,,,,,,,
Minerva FC,12:17,22,Paoginmang Baite,Defensive Duel,69.0,29.0,0,0,,Won,,,,,,,
Minerva FC,12:17,50,Thangkhanlam Samte,Pass,69.0,34.0,76,34,,Complete,,,,,,,
Minerva FC,12:19,9,Raj Singh Wahengbam ,Pass,71.0,34.0,69,55,,Complete,,,,,,,
Minerva FC,12:22,2,Ngashepam Reoson Singh,Pass,67.0,53.0,85,75,,Complete,,,,,,,
Minerva FC,12:27,11,Khangembem Gibash Meitei,Offensive Duel,87.0,77.0,0,0,,Lost,,,,,True,,
Minerva FC,12:33,2,Ngashepam Reoson Singh,Defensive Duel,66.0,63.0,0,0,,Won,,,,,,,
Minerva FC,12:35,2,Ngashepam Reoson Singh,Pass,65.0,63.0,43,62,,Complete,,,,,,,
Minerva FC,12:38,4,Sailex Oinam ,Pass,45.0,65.0,40,32,,Complete,,,,,,,
Minerva FC,12:44,3,Moosa Ashiq,Pass,44.0,31.0,40,60,,Complete,,,,,,,
Minerva FC,12:50,4,Sailex Oinam ,Pass,39.0,62.0,40,31,,Complete,,,,,,,
Minerva FC,12:56,3,Moosa Ashiq,Pass,42.0,26.0,77,33,,Complete,,,,,,,
Minerva FC,12:58,9,Raj Singh Wahengbam ,Pass,78.0,39.0,86,28,,Incomplete,,,,,,,
Minerva FC,13:29,5,Rokash Atom,Throw In,18.0,0.0,38,5,,,,,,,,,
Minerva FC,13:30,22,Paoginmang Baite,Head Pass,34.0,4.0,45,16,,Incomplete,,,,,,,
Minerva FC,13:34,5,Rokash Atom,Pass,21.0,9.0,39,16,,Incomplete,,,,,,,
Minerva FC,13:36,22,Paoginmang Baite,Defensive Duel,35.0,15.0,0,0,,Lost,,,,,True,,
