Team,Time,Jersey,Player,Event,X,Y,endX,endY,Foot,Outcome,Key Pass,Assist,Through Pass,Clearance,Take On,Hand Foul,Goal Area
Minerva FC,3:36,34,Loitam Mangal Singh,Pressure,87,50,0,0,,,,,,,,,
Minerva FC,3:39,19,Jayed,Offensive Duel,74,62,0,0,,Won,,,,,TRUE,,
Minerva FC,3:41,19,Jayed,Offensive Duel,67,64,0,0,,Won,,,,,,,
Minerva FC,3:42,19,Jayed,Pass,68,57,38,63,,Complete,,,,,,,
Minerva FC,3:45,4,Sailex Oinam,Pass,47,64,14,47,,Complete,,,,,,,
Minerva FC,3:49,1,Khwairakpam Yoihenba,Pass,14,45,31,11,,Complete,,,,,,,
Minerva FC,3:53,3,Moosa Ashiq,Pass,26,27,34,5,,Complete,,,,,,,
Minerva FC,3:56,7,Lairenjam Sanathoi Meitei,Offensive Duel,44,6,0,0,,Won,,,,,TRUE,,
Minerva FC,4:11,7,Lairenjam Sanathoi Meitei,Pressure,89,23,0,0,,,,,,,,,
Minerva FC,4:11,34,Loitam Mangal Singh,Pressure,94,25,0,0,,,,,,,,,
Minerva FC,4:13,3,Moosa Ashiq,Head Pass,54,24,84,62,,Complete,,,,,,,
Minerva FC,4:18,11,Khangembem Gibash Meitei ,Offensive Duel,90,65,0,0,,Won,,,,,,,
Minerva FC,4:21,50,Thangkhanlam Samte,Pass,80,51,90,55,,Complete,,,,,,,
Minerva FC,4:22,19,Jayed,Offside,92,69,0,0,,,,,,,,,
Minerva FC,4:37,3,Moosa Ashiq,Air Duel,42,31,0,0,,Won,,,,,,,
Minerva FC,4:39,5,Rokash Atom,Pass,40,29,52,36,,Complete,,,,,,,
Minerva FC,4:40,50,Thangkhanlam Samte,Pass,54,38,77,48,,Complete,,,,,,,
Minerva FC,4:42,34,Loitam Mangal Singh,Offensive Duel,72,48,0,0,,Lost,,,,,,,
Minerva FC,4:57,2,Ngashepam Reoson Singh,Throw In,12,79,28,75,,,,,,,,,
Minerva FC,4:58,19,Jayed,Air Duel,37,69,0,0,,Lost,,,,,,,
Minerva FC,5:02,1,Khwairakpam Yoihenba,Save,17,50,0,0,Middle,Saved,,,,,,,Bottom
Minerva FC,5:06,11,Khangembem Gibash Meitei ,Offensive Duel,41,73,0,0,,Won,,,,,TRUE,,
Minerva FC,5:08,11,Khangembem Gibash Meitei ,Defensive Duel,36,72,0,0,,Lost,,,,,,,
Minerva FC,5:14,7,Lairenjam Sanathoi Meitei,LBD,46,27,0,0,,Won,,,,,,,
Minerva FC,5:17,2,Ngashepam Reoson Singh,Head Pass,37,59,27,74,,Incomplete,,,,TRUE,,,
Minerva FC,5:22,2,Ngashepam Reoson Singh,Defensive Duel,27,73,0,0,,Won,,,,,TRUE,,
Minerva FC,5:36,19,Jayed,Defensive Duel,39,75,0,0,,Lost,,,,,,,
Minerva FC,5:40,11,Khangembem Gibash Meitei ,Carry,28,76,51,75,,,,,,,,,
Minerva FC,5:42,11,Khangembem Gibash Meitei ,Pass,47,72,48,40,,Incomplete,,,,,,,
Minerva FC,5:51,5,Rokash Atom,Pass,36,25,57,12,,Complete,,,,,,,
Minerva FC,5:52,7,Lairenjam Sanathoi Meitei,Offensive Duel,58,11,0,0,,Won,,,,,TRUE,,
Minerva FC,6:06,7,Lairenjam Sanathoi Meitei,Pressure,100,10,0,0,,,,,,,,,
Minerva FC,6:08,22,Paoginmang Baite,Defensive Duel,86,14,0,0,,Lost,,,,,,,
Minerva FC,6:17,4,Sailex Oinam,Pass,27,26,18,54,,Complete,,,,TRUE,,,
Minerva FC,6:41,1,Khwairakpam Yoihenba,Goal Kick,6,34,10,56,,,,,,,,,
Minerva FC,6:46,4,Sailex Oinam,Pass,18,53,49,70,,Complete,,,,,,,
Minerva FC,6:49,11,Khangembem Gibash Meitei ,Pass,54,69,43,62,,Complete,,,,,,,
Minerva FC,6:49,19,Jayed,Pass,45,63,28,72,,Incomplete,,,,,,,
Minerva FC,6:53,2,Ngashepam Reoson Singh,Defensive Duel,36,75,0,0,,Lost,,,,,,,
Minerva FC,6:56,19,Jayed,LBD,46,70,0,0,,Lost,,,,,,,
Minerva FC,7:02,4,Sailex Oinam,Defensive Duel,27,62,0,0,,Lost,,,,,,,
Minerva FC,7:27,1,Khwairakpam Yoihenba,Goal Kick,8,46,5,27,,,,,,,,,
Minerva FC,7:29,3,Moosa Ashiq,Long Kick,6,27,60,26,,Complete,,,,,,,
Minerva FC,7:32,34,Loitam Mangal Singh,Air Duel,57,30,0,0,,Lost,,,,,,,
Minerva FC,7:42,1,Khwairakpam Yoihenba,Hand Pass,10,38,14,52,,Complete,,,,,,,
Minerva FC,7:44,4,Sailex Oinam,Long Kick,8,44,49,75,,Complete,,,,,,,
Minerva FC,7:48,11,Khangembem Gibash Meitei ,Offensive Duel,53,73,0,0,,Won,,,,,,,
Minerva FC,7:50,50,Thangkhanlam Samte,LBD,41,66,0,0,,Won,,,,,,,
Minerva FC,8:03,4,Sailex Oinam,Free Kick,43,73,36,53,,,,,,,,,
Minerva FC,8:06,3,Moosa Ashiq,Pass,44,70,37,15,,Complete,,,,,,,
Minerva FC,8:10,5,Rokash Atom,Pass,33,11,55,16,,Complete,,,,,,,
Minerva FC,8:11,22,Paoginmang Baite,Pass,58,17,65,32,,Complete,,,,,,,
Minerva FC,8:13,19,Jayed,Pass,66,34,86,34,,Incomplete,,,,,,,
Minerva FC,8:18,7,Lairenjam Sanathoi Meitei,LBD,90,17,0,0,,Lost,,,,,,,
Minerva FC,8:33,5,Rokash Atom,Throw In,80,2,95,8,,,,,,,,,
Minerva FC,8:37,22,Paoginmang Baite,Pass,82,15,72,7,,Complete,,,,,,,
Minerva FC,8:38,5,Rokash Atom,Pass,68,8,89,5,,Complete,,,,,,,
Minerva FC,8:40,7,Lairenjam Sanathoi Meitei,Pass,92,4,87,17,,Complete,,,,,,,
Minerva FC,8:40,22,Paoginmang Baite,Pass,86,12,106,10,,Incomplete,,,,,,,
Minerva FC,8:57,5,Rokash Atom,Throw In,104,2,111,28,,,,,,,,,
Minerva FC,9:02,50,Thangkhanlam Samte,Air Duel,88,32,0,0,,Won,,,,,,,
Minerva FC,9:15,2,Ngashepam Reoson Singh,Head Pass,52,66,74,77,,Incomplete,,,,,,,
Minerva FC,9:23,50,Thangkhanlam Samte,Pass,65,55,82,29,,Complete,,,,,,,
Minerva FC,9:26,22,Paoginmang Baite,Pass,74,28,83,28,,Incomplete,,,,,,,
Minerva FC,9:28,5,Rokash Atom,Pass,73,23,80,37,,Complete,,,,,,,
Minerva FC,9:30,22,Paoginmang Baite,Pass,73,31,45,46,,Complete,,,,,,,
Minerva FC,9:36,4,Sailex Oinam,Long Kick,43,52,80,69,,Complete,,,,,,,
Minerva FC,9:40,34,Loitam Mangal Singh,Pass,88,56,74,64,,Complete,,,,,,,
Minerva FC,9:41,19,Jayed,Pass,76,57,92,73,,Complete,,,,,,,
Minerva FC,9:46,11,Khangembem Gibash Meitei ,Pass,95,75,75,76,,Complete,,,,,,,
Minerva FC,9:47,19,Jayed,Offensive Duel,77,75,0,0,,,,,,,,,
