Team,Time,Jersey,Player,Event,X,Y,endX,endY,Foot,Outcome,Key Pass,Assist,Through Pass,Clearance,Take On,Hand Foul,Goal Area
Punjab FC,3:30,9,Gunleiba Wangkheirakpam,Pass,60,39,28,30,,Complete,,,,,,,
Punjab FC,3:36,4,Shubham Poonia,Long Kick,23,28,53,24,,Complete,,,,,,,
Punjab FC,3:39,22,Mahesh Meitei,Touch,50,22,0,0,,Bad,,,,,,,
Punjab FC,3:46,22,Mahesh Meitei,Pressure,86,27,0,0,,,,,,,,,
Punjab FC,3:56,11,Thongbam Singh,Pressure,69,72,0,0,,,,,,,,,
Punjab FC,3:56,11,Thongbam Singh,Defensive Duel,71,72,0,0,,Lost,,,,,,,
Punjab FC,4:05,18,Naorem Singh,Throw In,33,74,33,73,,,,,,,,,
Punjab FC,4:09,3,Telem Singh,Pass,26,64,26,64,,,,,,,,,
Punjab FC,4:11,4,Shubham Poonia,Long Kick,25,51,72,53,,,,,,TRUE,,,
Punjab FC,4:35,5,Suraj Murmu,Free Kick,29,17,29,17,,,,,,,,,
Punjab FC,4:37,9,Gunleiba Wangkheirakpam,LBD,80,42,0,0,,,,,,,,,
Punjab FC,4:40,9,Gunleiba Wangkheirakpam,Air Duel,84,45,0,0,,,,,,,,,
Punjab FC,5:12,6,Khuraijam Meetei,Pass,72,40,74,63,,Complete,,,,,,,
Punjab FC,5:14,18,Naorem Singh,Pass,73,55,60,45,,Complete,,,,,,,
Punjab FC,5:23,3,Telem Singh,Long Kick,64,45,91,20,,Complete,,,,,,,
Punjab FC,5:45,11,Thongbam Singh,Pass,70,41,48,48,,Complete,,,,,,,
Punjab FC,5:47,3,Telem Singh,Pass,49,47,83,46,,Complete,,,,,,,
Punjab FC,5:50,9,Gunleiba Wangkheirakpam,Pass,83,43,86,54,,Incomplete,,,,,,,
Punjab FC,6:03,18,Naorem Singh,Throw In,29,76,16,69,,,,,,,,,
Punjab FC,6:07,3,Telem Singh,Pass,16,66,33,63,,Complete,,,,,,,
Punjab FC,6:08,6,Khuraijam Meetei,Pass,30,62,29,77,,Complete,,,,,,,
Punjab FC,6:11,18,Naorem Singh,Long Kick,25,72,89,54,,Incomplete,,,TRUE,,,,
Punjab FC,6:56,22,Mahesh Meitei,Head Pass,84,15,73,13,,Incomplete,,,,,,,
Punjab FC,7:32,3,Telem Singh,Head Pass,62,53,83,35,,Complete,,,,,,,
Punjab FC,7:36,22,Mahesh Meitei,Head Pass,85,36,102,43,,Incomplete,,,,,,,
Punjab FC,7:45,22,Mahesh Meitei,Pressure,106,14,0,0,,,,,,,,,
Punjab FC,8:10,11,Thongbam Singh,Pressure,87,58,0,0,,,,,,,,,
Punjab FC,8:18,4,Shubham Poonia,Pass,30,41,30,58,,Incomplete,,,,,,,
Punjab FC,8:20,18,Naorem Singh,Touch,23,71,0,0,,Bad,,,,,,,
Punjab FC,8:35,18,Naorem Singh,Head Pass,19,69,36,69,,Incomplete,,,,,,,
Punjab FC,8:43,3,Telem Singh,Head Pass,19,66,10,75,,,,,,TRUE,,,
Punjab FC,8:59,4,Shubham Poonia,Long Kick,12,54,29,48,,,,,,TRUE,,,
Punjab FC,9:12,1,Aadil,Long Kick,16,50,67,20,,Incomplete,,,,,,,
Punjab FC,9:27,11,Thongbam Singh,Pressure,40,53,0,0,,,,,,,,,
Punjab FC,10:10,4,Shubham Poonia,Goal Kick,7,33,32,69,,,,,,,,,
Punjab FC,10:13,11,Thongbam Singh,Pass,45,54,32,67,,Complete,,,,,,,
