Team,Time,Jersey,Player,Event,X,Y,endX,endY,Foot,Outcome,Key Pass,Assist,Through Pass,Clearance,Take On,Hand Foul,Goal Area
Sudeva Delhi FC,02:50,24,Debasish Borgohain ,Pass,59,40,51,35,,,,,,,,,
Sudeva Delhi FC,02:51,17,Heikham Lineker Singh,Pass,50,36,65,33,,Incomplete,,,,,,,
Sudeva Delhi FC,02:52,17,Heikham Lineker Singh,Pass,51,32,77,40,,Complete,,,,,,,
Sudeva Delhi FC,02:54,24,Debasish Borgohain ,Pass,76,42,79,31,,Complete,,,,,,,
Sudeva Delhi FC,02:55,9,Asem Rahulkumar Singh,Pass,84,26,92,56,,Complete,,,,,,,
Sudeva Delhi FC,02:56,11,Langam Ratip Meitei,Offensive Duel,95,54,0,0,,Won,,,,,,,
Sudeva Delhi FC,03:39,9,Asem Rahulkumar Singh,Free Kick,93,56,106,46,,,,,,,,,
Sudeva Delhi FC,03:56,9,Asem Rahulkumar Singh,Corner,116,2,117,40,,,,,,,,,
Sudeva Delhi FC,03:56,9,Asem Rahulkumar Singh,Shot,116,2,117,42,Left,Goal,,,,,,,Top right
Sudeva Delhi FC,04:19,24,Debasish Borgohain ,Pressure,91,60,0,0,,,,,,,,,
Sudeva Delhi FC,04:35,21,Macdonnish Ngairangbam ,Goal Kick,17,38,12,12,,,,,,,,,
Sudeva Delhi FC,04:36,16,Dikshit Rai ,Long Kick,11,16,69,17,,Complete,,,,,,,
Sudeva Delhi FC,04:38,17,Heikham Lineker Singh,LBD,67,19,0,0,,Lost,,,,,,,
Sudeva Delhi FC,04:51,9,Asem Rahulkumar Singh,Throw In,102,2,118,55,,,,,,,,,
Sudeva Delhi FC,05:06,11,Langam Ratip Meitei,Interception,106,67,0,0,,,,,,,,,
Sudeva Delhi FC,05:14,11,Langam Ratip Meitei,Pressure,106,50,0,0,,,,,,,,,
Sudeva Delhi FC,05:23,16,Dikshit Rai ,Throw In,40,1,61,7,,,,,,,,,
Sudeva Delhi FC,05:25,9,Asem Rahulkumar Singh,Pass,63,5,67,24,,Complete,,,,,,,
Sudeva Delhi FC,05:29,26,Loushambam Nara Meitei,Defensive Duel,33,58,0,0,,Won,,,,,true,,
Sudeva Delhi FC,05:31,24,Debasish Borgohain ,Offensive Duel,61,60,0,0,,Lost,,,,,true,,
Sudeva Delhi FC,05:32,24,Debasish Borgohain ,Defensive Duel,62,53,0,0,,Lost,,,,,,,
Sudeva Delhi FC,05:33,9,Asem Rahulkumar Singh,Pressure,63,38,0,0,,,,,,,,,
Sudeva Delhi FC,05:35,16,Dikshit Rai ,Shot,46,22,117,33,Right,Off Target,,,,,,,
Sudeva Delhi FC,05:42,11,Langam Ratip Meitei,Pressure,107,63,0,0,,,,,,,,,
Sudeva Delhi FC,05:45,26,Loushambam Nara Meitei,Defensive Duel,82,70,0,0,,Lost,,,,,true,,
Sudeva Delhi FC,06:05,26,Loushambam Nara Meitei,Throw In,77,79,104,41,,,,,,,,,
Sudeva Delhi FC,06:07,24,Debasish Borgohain ,Air Duel,103,39,0,0,,Won,,,,,,,
Sudeva Delhi FC,06:19,26,Loushambam Nara Meitei,Throw In,23,78,69,67,,,,,,,,,
Sudeva Delhi FC,06:21,11,Langam Ratip Meitei,Interception,65,71,0,0,,,,,,,,,
Sudeva Delhi FC,06:32,16,Dikshit Rai ,Head Pass,13,37,56,1,,,,,,true,,,
Sudeva Delhi FC,06:55,26,Loushambam Nara Meitei,LBD,10,32,0,0,,Lost,,,,,,,
Sudeva Delhi FC,08:11,16,Dikshit Rai ,Goal Kick,13,33,51,5,,,,,,,,,
Sudeva Delhi FC,08:15,9,Asem Rahulkumar Singh,Offensive Duel,67,11,0,0,,Lost,,,,,,,
Sudeva Delhi FC,08:18,16,Dikshit Rai ,Pass,39,19,54,11,,Complete,,,,,,,
Sudeva Delhi FC,08:20,9,Asem Rahulkumar Singh,Pass,44,12,80,7,,Complete,,,,,,,
Sudeva Delhi FC,08:22,24,Debasish Borgohain ,Offensive Duel,73,4,0,0,,Lost,,,,,,,
Sudeva Delhi FC,08:26,21,Macdonnish Ngairangbam ,Save,7,38,0,0,Right,Goal,,,,,,,Bottom left
Sudeva Delhi FC,08:44,24,Debasish Borgohain ,Pass,60,38,29,55,,Complete,,,,,,,
Sudeva Delhi FC,08:46,26,Loushambam Nara Meitei,Pass,32,57,89,27,,Complete,,,,,,,
Sudeva Delhi FC,08:51,11,Langam Ratip Meitei,Air Duel,37,64,0,0,,Won,,,,,,,
Sudeva Delhi FC,08:54,17,Heikham Lineker Singh,Offensive Duel,31,51,0,0,,Won,,,,,,,
Sudeva Delhi FC,09:08,26,Loushambam Nara Meitei,Free Kick,35,54,54,12,,,,,,,,,
Sudeva Delhi FC,09:11,16,Dikshit Rai ,Shot,56,8,118,41,Right,Saved,,,,,,,Top
