Team,Time,Jersey,Player,Event,X,Y,endX,endY,Foot,Outcome,Key Pass,Assist,Through Pass,Clearance,Take On,Hand Foul,Goal Area
Minerva Academy FC,03:52,9,Raj Singh Wahengbam ,Pass,60,40,26,31,,Complete,,,,,,,
Minerva Academy FC,03:56,3,Moosa Ashiq,Pass,26,28,23,55,,Complete,,,,,,,
Minerva Academy FC,03:59,4,Sailex Oinam ,Pass,24,53,44,77,,Complete,,,,,,,
Minerva Academy FC,04:04,2,Ngashepam Reoson Singh,Pass,55,76,54,65,,Incomplete,,,,,,,
Minerva Academy FC,04:09,34,Loitam Mangal Singh,Pass,48,75,65,75,,Complete,,,,,,,
Minerva Academy FC,04:11,2,Ngashepam Reoson Singh,Pass,77,76,81,63,,Incomplete,,,,,,,
Minerva Academy FC,04:13,9,Raj Singh Wahengbam ,Defensive Duel,85,67,0,0,,Lost,,,,,,,
Minerva Academy FC,04:14,2,Ngashepam Reoson Singh,Pass,85,69,85,63,,Complete,,,,,,,
Minerva Academy FC,04:19,22,Paoginmang Baite,Shot,88,38,118,39,Left,Off Target,,,,,,,
Minerva Academy FC,04:16,9,Raj Singh Wahengbam ,Pass,87,65,88,45,,Complete,,,,,,,
Minerva Academy FC,04:23,fc,Minerva Academy FC,Ball Out,118,37,0,0,,,,,,,,,
Minerva Academy FC,04:54,5,Rokash Atom,Head Pass,54,10,27,5,,Complete,,,,,,,
Minerva Academy FC,04:57,3,Moosa Ashiq,Pass,29,7,30,1,,Complete,,,,true,,,
Minerva Academy FC,04:58,fc,Minerva Academy FC,Ball Out,28,2,0,0,,,,,,,,,
Minerva Academy FC,05:10,9,Raj Singh Wahengbam ,Carry,42,12,77,18,,,,,,,,,
Minerva Academy FC,05:14,9,Raj Singh Wahengbam ,Pass,80,19,98,8,,Complete,,,,,,,
Minerva Academy FC,05:16,7,Lairenjam Sanathoi Meitei,Carry,86,14,108,13,,,,,,,,,
Minerva Academy FC,05:21,7,Lairenjam Sanathoi Meitei,Pass,106,12,92,21,,Complete,,,,,,,
Minerva Academy FC,05:22,22,Paoginmang Baite,Cross,95,14,112,44,Left,,,,,,,,
Minerva Academy FC,05:39,5,Rokash Atom,Head Pass,49,16,51,2,,,,,,true,,,
Minerva Academy FC,05:43,fc,Minerva Academy FC,Ball Out,50,2,0,0,,,,,,,,,
Minerva Academy FC,05:51,22,Paoginmang Baite,Defensive Duel,44,8,0,0,,Lost,,,,,,,
Minerva Academy FC,05:54,7,Lairenjam Sanathoi Meitei,Defensive Duel,43,7,0,0,,Won,,,,,,,
Minerva Academy FC,06:00,fc,Minerva Academy FC,Ball Out,42,2,0,0,,,,,,,,,
Minerva Academy FC,06:08,5,Rokash Atom,Throw In,47,1,83,8,,,,,,,,,
Minerva Academy FC,06:14,5,Rokash Atom,Defensive Duel,61,14,0,0,,Lost,,,,,,,
Minerva Academy FC,06:14,22,Paoginmang Baite,LBD,65,16,0,0,,Lost,,,,,,,
Minerva Academy FC,06:19,22,Paoginmang Baite,Offensive Duel,65,23,0,0,,Lost,,,,,true,,
Minerva Academy FC,06:21,22,Paoginmang Baite,Pass,66,24,39,20,,Complete,,,,,,,
Minerva Academy FC,06:24,3,Moosa Ashiq,Long Kick,42,18,71,75,,Complete,,,,,,,
Minerva Academy FC,06:29,2,Ngashepam Reoson Singh,Carry,80,76,88,64,,,,,,,,,
Minerva Academy FC,06:33,2,Ngashepam Reoson Singh,Offensive Duel,86,61,0,0,,Won,,,,,true,,
Minerva Academy FC,06:34,2,Ngashepam Reoson Singh,Pass,92,58,102,47,,Incomplete,,,true,,,,
Minerva Academy FC,06:42,3,Moosa Ashiq,Pass,61,25,88,26,,Complete,,,,,,,
Minerva Academy FC,06:44,22,Paoginmang Baite,Pass,90,25,99,13,,Incomplete,,,,,,,
Minerva Academy FC,06:50,7,Lairenjam Sanathoi Meitei,Pass,114,11,91,7,,Complete,,,,,,,
Minerva Academy FC,06:56,5,Rokash Atom,Cross,91,13,104,44,Right,,,,,,,,
Minerva Academy FC,07:00,50,Thangkhanlam Samte,Head Pass,77,35,66,53,,Complete,,,,,,,
Minerva Academy FC,07:07,34,Loitam Mangal Singh,Pass,69,56,84,60,,Complete,,,,,,,
Minerva Academy FC,07:10,11,Khangembem Gibash Meitei,Pass,85,66,95,60,,Incomplete,,,,,,,
Minerva Academy FC,07:15,9,Raj Singh Wahengbam ,Pass,91,51,81,44,,Complete,,,,,,,
Minerva Academy FC,07:17,50,Thangkhanlam Samte,Pass,82,40,96,22,,Incomplete,,,,,,,
Minerva Academy FC,07:26,3,Moosa Ashiq,Pass,64,36,94,10,,Complete,,,,,,,
Minerva Academy FC,07:34,7,Lairenjam Sanathoi Meitei,Pass,96,7,83,9,,Complete,,,,,,,
Minerva Academy FC,07:37,5,Rokash Atom,Pass,82,16,91,27,,Complete,,,,,,,
Minerva Academy FC,07:38,9,Raj Singh Wahengbam ,Pass,88,26,80,28,,Complete,,,,,,,
Minerva Academy FC,07:38,50,Thangkhanlam Samte,Pass,82,25,81,39,,Complete,,,,,,,
Minerva Academy FC,07:40,2,Ngashepam Reoson Singh,Pass,77,44,91,45,,Complete,,,,,,,
Minerva Academy FC,07:44,9,Raj Singh Wahengbam ,Offensive Duel,89,44,0,0,,Won,,,,,,,
Minerva Academy FC,07:45,9,Raj Singh Wahengbam ,Pass,88,41,94,7,,Complete,,,,,,,
Minerva Academy FC,07:51,7,Lairenjam Sanathoi Meitei,Pass,85,5,91,13,,Complete,,,,,,,
Minerva Academy FC,07:53,22,Paoginmang Baite,Head Pass,93,12,98,12,,Incomplete,,,,,,,
Minerva Academy FC,07:56,9,Raj Singh Wahengbam ,Air Duel,92,16,0,0,,Lost,,,,,,,
Minerva Academy FC,07:56,22,Paoginmang Baite,Air Duel,96,14,0,0,,Lost,,,,,,,
Minerva Academy FC,08:00,50,Thangkhanlam Samte,Defensive Duel,78,39,0,0,,Lost,,,,,true,,
Minerva Academy FC,08:08,1,Khwairakpam Yoihenba,Carry,12,14,12,28,,,,,,,,,
Minerva Academy FC,08:11,1,Khwairakpam Yoihenba,Pass,13,25,15,59,,Complete,,,,,,,
Minerva Academy FC,08:15,4,Sailex Oinam ,Long Kick,17,60,58,79,,Incomplete,,,,,,,
Minerva Academy FC,08:26,11,Khangembem Gibash Meitei,Pressure,71,68,0,0,,,,,,,,,
Minerva Academy FC,08:33,5,Rokash Atom,Defensive Duel,12,11,0,0,,Won,,,,,true,,
Minerva Academy FC,08:34,5,Rokash Atom,Offensive Duel,5,15,0,0,,Won,,,,,,,
Minerva Academy FC,08:46,3,Moosa Ashiq,Carry,4,18,64,5,,,,,,,,,
Minerva Academy FC,08:49,3,Moosa Ashiq,Pass,63,10,74,4,,Complete,,,,,,,
Minerva Academy FC,08:51,7,Lairenjam Sanathoi Meitei,Offensive Duel,78,4,0,0,,Won,,,,,,,
Minerva Academy FC,08:52,7,Lairenjam Sanathoi Meitei,Pass,75,5,79,13,,Complete,,,,,,,
Minerva Academy FC,08:54,9,Raj Singh Wahengbam ,Pass,80,11,95,11,,Incomplete,,,,,,,
Minerva Academy FC,09:00,fc,Minerva Academy FC,Ball Out,74,1,0,0,,,,,,,,,
Minerva Academy FC,09:06,5,Rokash Atom,Throw In,73,2,89,10,,,,,,,,,
Minerva Academy FC,09:07,22,Paoginmang Baite,Head Pass,89,10,84,9,,Incomplete,,,,,,,
Minerva Academy FC,09:12,22,Paoginmang Baite,Defensive Duel,74,26,0,0,,Won,,,,,,,
Minerva Academy FC,09:14,50,Thangkhanlam Samte,Offensive Duel,75,24,0,0,,Won,,,,,true,,
Minerva Academy FC,09:15,22,Paoginmang Baite,LBD,80,24,0,0,,Lost,,,,,,,
Minerva Academy FC,09:16,5,Rokash Atom,LBD,78,10,0,0,,Lost,,,,,,,
Minerva Academy FC,09:17,22,Paoginmang Baite,Touch,80,13,0,0,,Bad,,,,,,,
Minerva Academy FC,09:20,50,Thangkhanlam Samte,Pass,84,14,96,5,,Complete,,,,,,,
Minerva Academy FC,09:22,7,Lairenjam Sanathoi Meitei,Cross,96,5,107,50,Left,,true,,,,,,
Minerva Academy FC,09:25,11,Khangembem Gibash Meitei,Shot,106,49,118,37,Right,Off Target,,,,,,,
Minerva Academy FC,09:33,fc,Minerva Academy FC,Ball Out,118,37,0,0,,,,,,,,,
Minerva Academy FC,09:52,3,Moosa Ashiq,Head Pass,54,44,93,43,,Incomplete,,,,,,,
