Team,Time,Jersey,Player,Event,X,Y,endX,endY,Foot,Outcome,Key Pass,Assist,Through Pass,Clearance,Take On,Hand Foul,Goal Area
Sudeva,3:59,20,Eddie Zothanmawia ,Pressure,89,25,0,0,,,,,,,,,
Sudeva,4:04,11,Mayengbam Lanchenba Luwang,Interception,62,14,0,0,,,,,,,,,
Sudeva,4:07,11,Mayengbam Lanchenba Luwang,Offensive Duel,75,7,0,0,,Lost,,,,,,,
Sudeva,4:13,26,Longjam Christson Singh,Defensive Duel,37,15,0,0,,Won,,,,,,,
Sudeva,4:50,21,Samir Thapa,Goal Kick,6,48,66,72,,,,,,,,,
Sudeva,5:08,4,Moirangthem Manithoiba Meitei,Throw In,86,78,73,68,,,,,,,,,
Sudeva,5:09,26,Longjam Christson Singh,Touch,74,69,0,0,,Bad,,,,,,,
Sudeva,5:37,21,Samir Thapa,Long Kick,19,39,66,64,,Incomplete,,,,,,,
Sudeva,5:48,4,Moirangthem Manithoiba Meitei,Throw In,72,79,74,64,,,,,,,,,
Sudeva,5:54,15,Pukar Dulal,Offensive Duel,79,75,0,0,,Won,,,,,,,
Sudeva,5:55,15,Pukar Dulal,Offensive Duel,77,71,0,0,,Won,,,,,,,
Sudeva,6:10,4,Moirangthem Manithoiba Meitei,Head Pass,35,74,51,74,,Complete,,,,,,,
Sudeva,6:14,15,Pukar Dulal,Offensive Duel,56,70,0,0,,Won,,,,,,,
Sudeva,6:15,15,Pukar Dulal,Offensive Duel,52,65,0,0,,Won,,,,,,,
Sudeva,6:16,15,Pukar Dulal,Pass,52,69,37,75,,Complete,,,,,,,
Sudeva,6:17,4,Moirangthem Manithoiba Meitei,Pass,32,76,54,56,,Incomplete,,,,,,,
Sudeva,6:20,11,Mayengbam Lanchenba Luwang,Defensive Duel,47,55,0,0,,Lost,,,,,,,
Sudeva,6:33,11,Mayengbam Lanchenba Luwang,Defensive Duel,38,18,0,0,,Lost,,,,,TRUE,,
Sudeva,6:36,25,Leishangthem Donaroy Singh,Pass,18,34,64,53,,,,,,TRUE,,,
Sudeva,6:45,4,Moirangthem Manithoiba Meitei,Interception,28,65,0,0,,,,,,,,,
Sudeva,6:57,6,Irfan Ahmad Mir,Long Kick,17,33,42,42,,,,,,TRUE,,,
Sudeva,7:05,20,Eddie Zothanmawia ,Defensive Duel,53,26,0,0,,Lost,,,,,TRUE,,
Sudeva,7:13,11,Mayengbam Lanchenba Luwang,Pass,24,22,41,28,,Complete,,,,,,,
Sudeva,7:13,20,Eddie Zothanmawia ,Touch,37,28,0,0,,Bad,,,,,,,
Sudeva,7:19,7,Oinam Nirmal Meitei,Pass,30,57,56,41,,Incomplete,,,,,,,
Sudeva,7:54,4,Moirangthem Manithoiba Meitei,Head Pass,23,62,30,61,,Incomplete,,,,,,,
Sudeva,7:57,15,Pukar Dulal,Pass,29,59,40,40,,Complete,,,,,,,
Sudeva,8:00,20,Eddie Zothanmawia ,Offensive Duel,37,42,0,0,,Won,,,,,TRUE,,
Sudeva,8:02,20,Eddie Zothanmawia ,Long Kick,46,43,101,48,,Incomplete,,,TRUE,,,,
Sudeva,8:23,6,Irfan Ahmad Mir,Throw In,61,1,46,10,,,,,,,,,
Sudeva,8:27,25,Leishangthem Donaroy Singh,Long Kick,43,13,91,68,,Complete,,,,,,,
Sudeva,8:33,7,Oinam Nirmal Meitei,Offensive Duel,100,67,0,0,,Lost,,,,,TRUE,,
Sudeva,8:34,7,Oinam Nirmal Meitei,Defensive Duel,112,65,0,0,,Lost,,,,,,,
Sudeva,8:51,26,Longjam Christson Singh,Defensive Duel,39,75,0,0,,Lost,,,,,,,
Sudeva,8:57,2,Sagar Patra,Long Kick,26,69,59,79,,Incomplete,,,,TRUE,,,
Sudeva,9:09,26,Longjam Christson Singh,Head Pass,34,69,47,58,,Complete,,,,,,,
Sudeva,9:11,11,Mayengbam Lanchenba Luwang,Pass,46,53,51,62,,Complete,,,,,,,
Sudeva,9:12,15,Pukar Dulal,LBD,49,59,0,0,,Lost,,,,,,,
Sudeva,9:16,7,Oinam Nirmal Meitei,Defensive Duel,44,73,0,0,,Won,,,,,TRUE,,
Sudeva,9:49,21,Samir Thapa,Goal Kick,6,33,64,33,,,,,,,,,
Sudeva,9:56,2,Sagar Patra,Head Pass,26,42,34,41,,Complete,,,,,,,
Sudeva,9:57,26,Longjam Christson Singh,Pass,30,42,16,50,,Complete,,,,,,,
Sudeva,9:59,2,Sagar Patra,Long Kick,23,52,1,67,,,,,,TRUE,,,
Sudeva,10:35,12,R Aarya Krishna,Head Pass,8,54,13,28,,Incomplete,,,,TRUE,,,
Sudeva,10:38,25,Leishangthem Donaroy Singh,Interception,10,32,0,0,,,,,,,,,
Sudeva,10:39,15,Pukar Dulal,Pass,18,38,24,40,,Incomplete,,,,,,,
Sudeva,10:52,21,Samir Thapa,Goal Kick,8,41,13,60,,,,,,,,,
Sudeva,10:55,2,Sagar Patra,Long Kick,12,62,87,79,,Incomplete,,,,,,,
Sudeva,11:15,7,Oinam Nirmal Meitei,Pass,42,75,41,78,,,,,,TRUE,,,
Sudeva,11:26,4,Moirangthem Manithoiba Meitei,Head Pass,24,75,23,73,,Incomplete,,,,,,,
Sudeva,11:29,4,Moirangthem Manithoiba Meitei,Offensive Duel,24,72,0,0,,Won,,,,,,,
Sudeva,11:47,2,Sagar Patra,Free Kick,24,72,88,59,,,,,,,,,
Sudeva,12:01,25,Leishangthem Donaroy Singh,Pass,26,55,46,62,,Complete,,,,,,,
Sudeva,12:04,15,Pukar Dulal,Pass,36,62,41,74,,Complete,,,,,,,
Sudeva,12:07,7,Oinam Nirmal Meitei,Pass,40,74,20,72,,Complete,,,,,,,
Sudeva,12:09,4,Moirangthem Manithoiba Meitei,Long Kick,27,73,53,42,,Incomplete,,,,,,,
Sudeva,12:12,20,Eddie Zothanmawia ,Pass,52,41,45,42,,Complete,,,,,,,
